quarter,sentiment,gdp_growth
1997 Q2,0.10344827586206896,1.2
1997 Q3,0.15865563752887696,0.6
1997 Q4,-0.03564213564213564,1.3
1998 Q1,-0.13845920604562204,0.6
1998 Q2,-0.15698796652617433,0.6
1998 Q3,-0.21229075384788224,0.6999999999999998
1998 Q4,-0.3471374969740983,1.0
1999 Q1,-0.4510815422627534,0.6999999999999998
1999 Q2,-0.018894389438943893,0.10000000000000002
1999 Q3,0.030295195001077357,1.8
1999 Q4,0.26225954109449257,1.3999999999999997
2000 Q1,0.27298118275983224,1.0
2000 Q2,0.13538963231676138,0.6999999999999998
2000 Q3,-0.02508465912721232,0.3
2000 Q4,-0.2001317880126049,0.20000000000000004
2001 Q1,-0.1777593265294355,1.3
2001 Q2,-0.410757434286846,0.6999999999999998
2001 Q3,-0.19859717577108882,0.6999999999999998
2001 Q4,-0.42943820224719104,0.4000000000000001
2002 Q1,-0.1513422294159302,0.4000000000000001
2002 Q2,-0.1540100596467935,0.6999999999999998
2002 Q3,-0.41408228505002703,0.8000000000000002
2002 Q4,-0.26124096562144117,0.9
2003 Q1,-0.3877521271668418,0.8000000000000002
2003 Q2,-0.3618583495776478,0.9
2003 Q3,-0.1498079385403329,1.0
2003 Q4,0.1011191743267215,0.8000000000000002
2004 Q1,0.06346100083869165,0.6
2004 Q2,0.2965135223199739,0.5
2004 Q3,-0.3013762044154874,0.20000000000000004
2004 Q4,-0.28078510092561615,0.6
2005 Q1,0.015598156295830714,0.6
2005 Q2,-0.1919736712840161,1.1
2005 Q3,-0.060144927536231886,1.1
2005 Q4,-0.13749387941106603,1.3999999999999997
2006 Q1,-0.16968599033816423,0.3
2006 Q2,0.15247666365552545,0.20000000000000004
2006 Q3,0.19668737060041408,0.10000000000000002
2006 Q4,0.012387387387387391,0.4000000000000001
2007 Q1,0.03304843304843305,1.0
2007 Q2,0.002248904135696589,0.6999999999999998
2007 Q3,-0.20802315963606288,0.8000000000000002
2007 Q4,-0.37621814092953526,0.8000000000000002
2008 Q1,-0.2086120401337793,0.10000000000000002
2008 Q2,-0.23879008967928259,-0.6999999999999998
2008 Q3,-0.39419457735247204,-1.7
2008 Q4,-0.693121693121693,-2.3
2009 Q1,-0.8578431372549019,-1.6000000000000003
2009 Q2,-0.5049117045487281,-0.20000000000000004
2009 Q3,-0.35185185185185186,0.10000000000000002
2009 Q4,-0.4168545356951154,0.4000000000000001
2010 Q1,-0.16624493927125505,0.5
2010 Q2,-0.02722222222222223,1.0
2010 Q3,-0.20981802331916746,0.6
2010 Q4,0.08361029651352232,0.10000000000000002
2011 Q1,-0.06469622331691298,0.6
2011 Q2,-0.3030859340851473,0.10000000000000002
2011 Q3,-0.6414607614607615,0.4000000000000001
2011 Q4,-0.5555555555555555,0.20000000000000004
2012 Q1,-0.22735042735042735,0.4000000000000001
2012 Q2,-0.4101921470342523,-0.10000000000000002
2012 Q3,-0.5355707613772129,1.1
2012 Q4,-0.2503719079743989,-0.20000000000000004
2013 Q1,-0.3058183194108915,0.6
2013 Q2,-0.43939393939393945,0.5
2013 Q3,-0.11549707602339182,0.8000000000000002
2013 Q4,-0.052925531914893624,0.5
2014 Q1,-0.15476190476190477,0.8000000000000002
2014 Q2,-0.3941539578794481,0.9
2014 Q3,-0.41969696969696973,0.8000000000000002
2014 Q4,-0.6341463414634146,0.8
